,Date,Price,Vol.,Change %
74,"Sep 16, 2020",82.35,0.95K,-0.90%
75,"Sep 15, 2020",83.1,0.36K,0.11%
76,"Sep 14, 2020",83.0,0.22K,-0.52%
77,"Sep 11, 2020",83.43,0.04K,0.84%
78,"Sep 10, 2020",82.74,0.58K,1.01%
79,"Sep 09, 2020",81.91,0.19K,0.07%
80,"Sep 08, 2020",81.86,6.59K,1.03%
81,"Sep 07, 2020",81.02,0.25K,0.17%
82,"Sep 04, 2020",80.88,3.35K,0.03%
83,"Sep 03, 2020",80.86,0.58K,0.21%
84,"Sep 02, 2020",80.68,5.47K,1.24%
85,"Sep 01, 2020",79.69,0.67K,-0.24%
86,"Aug 28, 2020",79.89,0.55K,-0.69%
87,"Aug 27, 2020",80.44,5.33K,-0.29%
88,"Aug 26, 2020",80.68,1.74K,-0.56%
89,"Aug 25, 2020",81.13,0.34K,-0.83%
90,"Aug 24, 2020",81.81,1.81K,0.23%
91,"Aug 21, 2020",81.62,0.33K,0.47%
92,"Aug 20, 2020",81.24,0.17K,0.01%
93,"Aug 19, 2020",81.22,0.20K,0.37%
94,"Aug 18, 2020",80.93,0.66K,-0.75%
95,"Aug 17, 2020",81.54,0.94K,0.22%
96,"Aug 14, 2020",81.36,0.69K,-0.57%
97,"Aug 13, 2020",81.82,0.89K,-0.34%
98,"Aug 12, 2020",82.11,1.07K,0.19%
99,"Aug 11, 2020",81.95,1.45K,-0.46%
100,"Aug 10, 2020",82.33,2.79K,-0.29%
101,"Aug 07, 2020",82.57,0.27K,0.28%
102,"Aug 06, 2020",82.34,4.35K,0.49%
103,"Aug 05, 2020",81.94,0.59K,-0.45%
104,"Aug 04, 2020",82.31,0.36K,0.26%
105,"Aug 03, 2020",82.1,1.43K,0.53%
106,"Jul 31, 2020",81.66,0.36K,-0.75%
107,"Jul 30, 2020",82.28,2.17K,-0.26%
108,"Jul 29, 2020",82.5,7.23K,-0.16%
109,"Jul 28, 2020",82.63,0.26K,-0.54%
110,"Jul 27, 2020",83.07,0.28K,-0.35%
111,"Jul 24, 2020",83.37,0.12K,-0.28%
112,"Jul 23, 2020",83.6,0.98K,-0.05%
113,"Jul 22, 2020",83.64,0.17K,0.22%
114,"Jul 21, 2020",83.46,1.28K,-0.15%
115,"Jul 20, 2020",83.58,1.13K,-0.70%
116,"Jul 17, 2020",84.17,2.29K,0.66%
117,"Jul 16, 2020",83.61,0.82K,0.29%
118,"Jul 15, 2020",83.37,6.04K,-0.25%
119,"Jul 14, 2020",83.58,3.87K,0.69%
120,"Jul 13, 2020",83.01,1.26K,0.24%
121,"Jul 10, 2020",82.81,0.11K,-0.08%
122,"Jul 09, 2020",82.88,2.74K,-0.19%
123,"Jul 08, 2020",83.04,0.66K,0.34%
124,"Jul 07, 2020",82.75,1.44K,-0.76%
125,"Jul 06, 2020",83.39,0.84K,0.02%
126,"Jul 03, 2020",83.37,0.22K,-0.01%
127,"Jul 02, 2020",83.38,0.26K,0.40%
128,"Jul 01, 2020",83.04,0.54K,-0.76%
129,"Jun 30, 2020",83.68,1.03K,-0.48%
130,"Jun 29, 2020",84.08,3.80K,0.72%
131,"Jun 26, 2020",83.49,1.85K,0.69%
132,"Jun 25, 2020",82.92,0.98K,0.34%
133,"Jun 24, 2020",82.64,0.64K,0.13%
134,"Jun 23, 2020",82.53,1.76K,-0.51%
135,"Jun 22, 2020",82.95,1.55K,-0.47%
136,"Jun 19, 2020",83.34,0.95K,0.76%
137,"Jun 18, 2020",82.71,0.99K,0.78%
138,"Jun 17, 2020",82.07,0.41K,-0.10%
139,"Jun 16, 2020",82.15,2.92K,0.54%
140,"Jun 15, 2020",81.71,0.90K,-0.06%
141,"Jun 12, 2020",81.76,2.43K,0.63%
142,"Jun 11, 2020",81.25,0.52K,0.60%
143,"Jun 10, 2020",80.76,0.59K,0.19%
144,"Jun 09, 2020",80.61,0.52K,-0.57%
145,"Jun 08, 2020",81.07,1.20K,0.41%
146,"Jun 05, 2020",80.74,1.33K,-0.63%
147,"Jun 04, 2020",81.25,1.00K,0.25%
148,"Jun 03, 2020",81.04,1.81K,-0.18%
149,"Jun 02, 2020",81.19,0.85K,-0.04%
150,"Jun 01, 2020",81.22,0.49K,-0.75%
151,"May 29, 2020",81.83,4.90K,-0.05%
152,"May 28, 2020",81.88,0.63K,-0.35%
153,"May 27, 2020",82.17,0.57K,1.08%
154,"May 26, 2020",81.29,1.08K,-0.70%
155,"May 22, 2020",81.87,1.38K,0.11%
156,"May 21, 2020",81.78,3.42K,0.82%
157,"May 20, 2020",81.11,2.29K,0.07%
158,"May 19, 2020",81.06,3.88K,0.06%
159,"May 18, 2020",81.01,3.12K,-0.26%
160,"May 15, 2020",81.22,2.92K,1.08%
161,"May 14, 2020",80.36,0.48K,0.01%
162,"May 13, 2020",80.35,1.27K,0.65%
163,"May 12, 2020",79.83,10.59K,0.71%
164,"May 11, 2020",79.27,0.76K,-0.54%
165,"May 07, 2020",79.7,0.17K,0.18%
166,"May 06, 2020",79.56,0.39K,-0.09%
167,"May 05, 2020",79.63,0.90K,-0.39%
168,"May 04, 2020",79.93,1.13K,0.70%
169,"May 01, 2020",79.38,1.37K,0.09%
170,"Apr 30, 2020",79.31,0.39K,-0.79%
171,"Apr 29, 2020",79.94,2.77K,0.46%
172,"Apr 28, 2020",79.57,0.22K,-0.43%
173,"Apr 27, 2020",79.92,1.08K,-0.42%
174,"Apr 24, 2020",80.25,1.02K,0.09%
175,"Apr 23, 2020",80.18,0.85K,0.13%
176,"Apr 22, 2020",80.07,0.34K,-0.22%
177,"Apr 21, 2020",80.25,0.83K,0.77%
178,"Apr 20, 2020",79.64,0.72K,-0.23%
179,"Apr 17, 2020",79.82,0.54K,-0.21%
180,"Apr 16, 2020",79.99,0.58K,0.93%
181,"Apr 15, 2020",79.25,0.55K,-0.04%
182,"Apr 14, 2020",79.29,1.33K,-0.83%
183,"Apr 09, 2020",79.95,2.79K,2.94%
184,"Apr 08, 2020",77.67,1.03K,-0.06%
185,"Apr 07, 2020",77.71,5.73K,0.33%
186,"Apr 06, 2020",77.46,0.52K,0.50%
187,"Apr 03, 2020",77.07,1.69K,0.50%
188,"Apr 02, 2020",76.69,0.48K,-0.16%
189,"Apr 01, 2020",76.82,1.32K,-0.61%
190,"Mar 31, 2020",77.29,8.38K,0.21%
191,"Mar 30, 2020",77.13,0.84K,1.61%
192,"Mar 27, 2020",75.91,0.14K,-2.72%
193,"Mar 26, 2020",78.04,5.55K,-1.52%
194,"Mar 25, 2020",79.24,1.45K,1.09%
195,"Mar 24, 2020",78.39,1.63K,-0.46%
196,"Mar 23, 2020",78.75,24.96K,4.92%
197,"Mar 20, 2020",75.05,4.19K,-0.16%
198,"Mar 19, 2020",75.17,8.38K,0.21%
199,"Mar 18, 2020",75.01,2.21K,-1.92%
200,"Mar 17, 2020",76.48,6.59K,0.41%
201,"Mar 16, 2020",76.17,3.57K,-1.65%
202,"Mar 13, 2020",77.45,0.57K,1.65%
203,"Mar 12, 2020",76.19,3.16K,-3.40%
204,"Mar 11, 2020",78.87,5.03K,-1.17%
205,"Mar 10, 2020",79.8,1.46K,0.73%
206,"Mar 09, 2020",79.22,6.45K,-1.89%
207,"Mar 06, 2020",80.75,15.34K,-0.52%
208,"Mar 05, 2020",81.17,8.44K,-0.79%
209,"Mar 04, 2020",81.82,2.23K,0.02%
210,"Mar 03, 2020",81.8,2.82K,0.54%
211,"Mar 02, 2020",81.36,3.60K,0.86%
212,"Feb 28, 2020",80.67,0.47K,0.70%
213,"Feb 27, 2020",80.11,1.00K,0.29%
214,"Feb 26, 2020",79.88,1.95K,0.41%
215,"Feb 25, 2020",79.55,0.69K,-0.57%
216,"Feb 24, 2020",80.01,0.44K,0.35%
217,"Feb 21, 2020",79.73,1.28K,-0.26%
218,"Feb 20, 2020",79.94,0.34K,0.65%
219,"Feb 19, 2020",79.42,0.06K,0.46%
220,"Feb 18, 2020",79.06,0.29K,-0.04%
221,"Feb 17, 2020",79.09,2.19K,0.14%
222,"Feb 14, 2020",78.98,1.72K,0.43%
223,"Feb 13, 2020",78.64,0.15K,-0.66%
224,"Feb 12, 2020",79.16,0.02K,-0.48%
225,"Feb 11, 2020",79.54,0.77K,-0.24%
226,"Feb 10, 2020",79.73,1.16K,-0.04%
227,"Feb 07, 2020",79.76,3.22K,0.40%
228,"Feb 06, 2020",79.44,0.08K,0.34%
229,"Feb 05, 2020",79.17,0.64K,0.11%
230,"Feb 04, 2020",79.08,0.33K,-0.44%
231,"Feb 03, 2020",79.43,2.69K,1.26%
232,"Jan 31, 2020",78.44,21.45K,-0.22%
233,"Jan 30, 2020",78.61,2.33K,-0.64%
234,"Jan 29, 2020",79.12,0.37K,0.08%
235,"Jan 28, 2020",79.06,0.93K,0.37%
236,"Jan 27, 2020",78.77,1.96K,0.22%
237,"Jan 24, 2020",78.6,0.17K,0.41%
238,"Jan 23, 2020",78.28,0.23K,0.22%
239,"Jan 22, 2020",78.11,1.18K,-0.57%
240,"Jan 21, 2020",78.56,0.58K,-0.01%
241,"Jan 20, 2020",78.57,2.32K,0.17%
242,"Jan 17, 2020",78.44,0.25K,0.29%
243,"Jan 16, 2020",78.21,0.28K,-0.36%
244,"Jan 15, 2020",78.49,1.43K,0.09%
245,"Jan 14, 2020",78.42,2.02K,-0.08%
246,"Jan 13, 2020",78.48,0.36K,0.37%
247,"Jan 10, 2020",78.19,7.15K,0.54%
248,"Jan 09, 2020",77.77,0.69K,0.05%
249,"Jan 08, 2020",77.73,1.29K,0.00%
250,"Jan 07, 2020",77.73,0.50K,0.30%
251,"Jan 06, 2020",77.5,0.83K,-0.68%
252,"Jan 03, 2020",78.03,0.88K,0.58%
253,"Jan 02, 2020",77.58,9.20K,0.28%
